Amaranthaceae	Anacardiaceae	Apiaceae	Araucaria.Angustifolia	Arecaceae	Asteraceae	Cecropia	Celtis	Clethra	Drimys.Brasiliensis	Euphorbiaceae	Fabaceae	Hedyosmum.	Ilex	Lamanonia.speciosa.type	Malpighiaceae	Melastomataceae.Combretaceae	Moraceae.Urticaceae	Myrsine	Myrtaceae	Piper	Poaceae	Podocarpus	Rubiaceae	Sapindaceae	Solanaceae	Symplocos	Trema.type	Weinmannia
0	0	7.299270073	0	0.729927007	20.0729927	0	1.094890511	0	0	2.554744526	0.364963504	0	0.729927007	0.364963504	0	4.744525547	0.729927007	2.919708029	2.919708029	0	35.03649635	0.364963504	0	0	0	0	0	16.42335766
0	0	4.964539007	0	0.709219858	13.4751773	0	0	0.354609929	0	2.836879433	0	0	0	0	0	1.773049645	1.063829787	4.255319149	2.127659574	0	54.25531915	0.354609929	0	0	0	0	0.354609929	11.34751773
0.362318841	0.362318841	2.173913043	0	0.362318841	16.30434783	0	0	0	0	0.724637681	0	0	0	0	0	3.260869565	0	4.347826087	3.623188406	0	50.36231884	0	0	0.362318841	0	0	0.362318841	15.2173913
0	0	3.928571429	0	1.071428571	24.64285714	0	0.357142857	0.357142857	0	2.5	0	0	0	0.357142857	0	4.285714286	0	3.928571429	2.142857143	0	44.64285714	0.714285714	0	0	0	0	0.357142857	7.5
0.358422939	0	2.508960573	0	0	17.20430108	0	0	0	0	4.301075269	0.358422939	0	1.075268817	0	0	5.017921147	1.433691756	4.301075269	4.301075269	0	44.44444444	0	0	0	0.358422939	0.358422939	0.358422939	10.75268817
0	0	5.614035088	0	0.350877193	21.05263158	0	0.701754386	0	0	2.456140351	0.350877193	0	0	0	0	4.561403509	1.403508772	3.859649123	1.754385965	0	50.1754386	0	0	0	0.701754386	0	0	4.561403509
0	0	12.23021583	0	0	11.15107914	0	0	0	0	0.35971223	2.158273381	0	0	0	0	10.43165468	0.35971223	3.237410072	3.597122302	0	43.16546763	0	0	0	3.237410072	0	0.35971223	6.834532374
0	0	4.778156997	0.341296928	0.341296928	16.38225256	0	1.023890785	0	0	1.706484642	0.682593857	0	0	0	0	0.682593857	0.682593857	3.412969283	1.706484642	0	61.4334471	0	0.341296928	0	0.341296928	0	0	4.436860068
0	0	5.054151625	0.36101083	0	11.55234657	0	0	0	0	3.610108303	0.36101083	0	0	0.722021661	0	5.054151625	2.527075812	1.444043321	0.722021661	0	58.48375451	0	0	0	1.083032491	0	0.36101083	6.498194946
0	0	8.450704225	0	0.704225352	8.450704225	0	2.112676056	0	0	3.521126761	0.704225352	0	0	0	0	1.056338028	1.408450704	2.816901408	0.704225352	0	63.02816901	0	0	0	0	0	0.352112676	3.521126761
0	0	3.260869565	0	0	9.420289855	0	0.724637681	0	0	3.985507246	0	0	0.362318841	0	0	4.710144928	1.086956522	3.260869565	1.086956522	0	64.49275362	0	0	0	0.362318841	0	0	3.260869565
0.35971223	0	2.158273381	0	0.35971223	10.43165468	0	1.438848921	0	0	3.237410072	0.35971223	0	0.35971223	0	0	1.438848921	0.71942446	3.237410072	0.71942446	0	72.30215827	0.35971223	0	0.35971223	0	0	0	1.079136691
0	0	0.71942446	0	0	11.15107914	0	1.079136691	0	0	5.035971223	0	0	0	0.35971223	0	0	1.079136691	3.597122302	2.517985612	0	64.74820144	1.079136691	0	0	0	0	0	4.676258993
